tweet_id,retweet_count,favorite_count
825120256414846976,1239,0
825026590719483904,1239,6253
824796380199809024,5452,0
824775126675836928,3478,14795
824663926340194305,1758,10456
824325613288833024,10464,11745
824297048279236611,3820,14965
824025158776213504,594,4803
823939628516474880,2685,10560
823719002937630720,11088,0
823699002998870016,2502,13899
823581115634085888,2605,12944
823333489516937216,24,699
823322678127919110,3986,15636
823269594223824897,9806,0
822975315408461824,3418,17228
822872901745569793,42856,130824
822859134160621569,2256,13176
822647212903690241,6367,0
822610361945911296,2932,14719
822489057087389700,6366,18047
822462944365645825,14163,27808
822244816520155136,9806,34786
822163064745328640,4724,0
821886076407029760,2286,11269
821813639212650496,3351,0
821765923262631936,1643,8364
821522889702862852,1749,7998
821421320206483457,5539,0
821407182352777218,4312,11705
821153421864615936,10,255
821149554670182400,1961,8604
821107785811234820,2126,9553
821044531881721856,2265,12617
820837357901512704,6686,0
820749716845686786,9809,31402
820690176645140481,3207,12169
820494788566847489,562,0
820446719150292993,2557,0
820314633777061888,562,3338
820078625395449857,6243,19743
820013781606658049,1171,0
819952236453363712,1171,5316
819924195358416896,4859,12870
819711362133872643,3089,13330
819588359383371776,1979,9619
819347104292290561,1198,7190
819238181065359361,406,2261
819227688460238848,6686,22998
819015337530290176,36713,0
819015331746349057,18902,0
819006400881917954,18902,45166
819004803107983360,36713,86706
818646164899774465,20888,0
818627210458333184,7506,22328
818614493328580609,2539,9796
818588835076603904,6099,0
818536468981415936,2443,10856
818307523543449600,8028,0
818259473185828864,2252,10979
818145370475810820,2561,12236
817908911860748288,800,4846
817827839487737858,26961,51504
817777686764523521,2678,10728
817536400337801217,2948,11740
817502432452313088,3373,0
817423860136083457,14636,33724
817415592588222464,941,5578
817181837579653120,8440,0
817171292965273600,2014,8748
817120970343411712,2584,12199
817056546584727552,1637,8570
816829038950027264,4704,0
816816676327063552,2034,9987
816697700272001025,2176,9760
816450570814898180,8028,30359
816336735214911488,1939,8590
816091915477250048,2131,8924
816062466425819140,1013,0
816014286006976512,5251,0
815990720817401858,1013,4944
815966073409433600,8440,22367
815745968457060357,4119,0
815736392542261248,2257,9842
815639385530101762,1648,8215
815390420867969024,3806,10347
814986499976527872,1277,7650
814638523311648768,2692,11249
814578408554463233,5828,0
814530161257443328,1861,8637
814153002265309185,8664,28755
813944609378369540,3182,0
813910438903693312,1864,9303
813812741911748608,13958,36397
813800681631023104,1757,8324
813217897535406080,7282,18643
813202720496779264,1815,9233
813187593374461952,4350,19859
813172488309972993,1925,9263
813157409116065792,2218,7776
813142292504645637,2385,8486
813130366689148928,450,4478
813127251579564032,3133,11830
813112105746448384,2736,10300
813096984823349248,3633,10585
813081950185472002,2790,9906
813066809284972545,1958,7947
813051746834595840,7365,21005
812781120811126785,1907,7580
812709060537683968,1436,6619
812503143955202048,1219,6072
812466873996607488,1938,7973
812372279581671427,3658,13664
811985624773361665,1402,7277
811744202451197953,1593,7550
811647686436880384,742,5616
811627233043480576,3082,12793
811386762094317568,6399,20950
810984652412424192,1444,5334
810896069567610880,1774,9006
810657578271330305,2650,10972
810284430598270976,11270,35251
810254108431155201,3381,14701
809920764300447744,3947,15585
809808892968534016,4895,0
809448704142938112,1471,6952
809220051211603969,5606,19952
809084759137812480,3538,13246
808838249661788160,3045,10142
808733504066486276,2169,7914
808501579447930884,2604,11346
808344865868283904,20888,42649
808134635716833280,5928,0
808106460588765185,2215,8825
808001312164028416,3551,12561
807621403335917568,3617,14608
807106840509214720,55432,118454
807059379405148160,7356,0
807010152071229440,3872,13116
806629075125202948,34682,74770
806620845233815552,5544,0
806576416489959424,1962,4911
